City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,callao,-12.0667,-77.15,26.16,69,0,6.17,PE,1681854503
1,waitangi,-43.9535,-176.5597,17.12,85,100,4.02,NZ,1681854775
2,brookings,44.3114,-96.7984,16.21,34,0,11.32,US,1681854522
3,albany,42.6001,-73.9662,9.77,52,100,0.45,US,1681854642
4,anadyr,64.75,177.4833,-0.72,80,20,6.71,RU,1681854778
5,port-aux-francais,-49.35,70.2167,5.84,77,60,14.01,TF,1681854778
6,bethel,41.3712,-73.414,13.6,48,0,6.17,US,1681854584
7,dakoro,14.5106,6.765,29.23,38,10,0.49,NE,1681854779
8,ambon,-3.6954,128.1814,25.08,94,40,3.09,ID,1681854779
9,puerto ayora,-0.7393,-90.3518,28.98,93,91,0.45,EC,1681854606
10,mejit,10.2753,170.8646,26.79,80,100,7.81,MH,1681854779
11,ust-nera,64.5667,143.2,-8.8,96,99,1.21,RU,1681854779
12,bredasdorp,-34.5322,20.0403,14.58,91,50,1.56,ZA,1681854780
13,saacow,1.6279,42.4407,26.13,84,100,3.36,SO,1681854780
14,lebu,-37.6167,-73.65,13.87,89,100,1.35,CL,1681854780
15,georgetown,5.4112,100.3354,26.96,94,20,0.51,MY,1681854780
16,mandalgovi,45.7625,106.2708,3.64,25,100,12.86,MN,1681854781
17,lockwood,45.8191,-108.4149,13.56,50,100,2.68,US,1681854781
18,mbaiki,3.8678,17.9892,23.84,71,59,1.14,CF,1681854781
19,ushuaia,-54.8,-68.3,5.81,70,75,2.57,AR,1681854782
20,kimbe,-5.5502,150.1429,25.92,85,45,0.75,PG,1681854782
21,wailua homesteads,22.0669,-159.378,23.24,88,100,7.2,US,1681854782
22,longyearbyen,78.2186,15.6401,-1.09,100,100,0.0,SJ,1681854783
23,kodiak,57.79,-152.4072,3.73,45,0,8.23,US,1681854783
24,shangmei,27.7428,111.2956,21.07,96,96,1.27,CN,1681854784
25,saipan,15.1355,145.701,27.03,100,75,9.26,MP,1681854784
26,dudinka,69.4058,86.1778,-23.57,98,6,2.68,RU,1681854784
27,puerto natales,-51.7236,-72.4875,7.76,94,100,2.86,CL,1681854784
28,edinburgh of the seven seas,-37.0676,-12.3116,15.23,61,95,5.99,SH,1681854785
29,nemuro,43.3236,145.575,3.57,78,98,1.47,JP,1681854785
30,mount pearl,47.5166,-52.7813,0.53,92,100,5.66,CA,1681854785
31,katsuura,35.1333,140.3,18.01,84,47,8.79,JP,1681854785
